asin,product_name,title,rating,content,review_date,processing_batch_id,data_source,text_length,word_count,sentence_count,token_count,unique_word_count,avg_word_length,vader_compound,vader_pos,vader_neg,vader_neu,polarity_rating_disagree,disagreement_score,negation_count,negation_adjusted_sentiment,positive_word_count,negative_word_count,sentiment_ratio,mentioned_aspects,aspect_count,aspect_battery_sentiment,aspect_camera_sentiment,aspect_price_sentiment,aspect_delivery_sentiment,aspect_design_sentiment,aspect_quality_sentiment,aspect_performance_sentiment,aspect_service_sentiment,emotion_joy,emotion_anger,emotion_sadness,emotion_fear,emotion_surprise,emotion_trust,dominant_emotion,emoji_count,has_emoji,emoji_emotion,emoji_emotion_scores,slang_count,slang_terms,has_profanity,has_personal_info,review_age_days,is_recent_review,comprehensive_quality_score
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","5.0 out of 5 stars
 Mostly Loving",5.0,Awesome mobile Thanks OnePlus Nice camera and battery backup with Fast charging Lag Free Processor Mostly loved phone at the price,Reviewed in India on 28 October 2025,20251118_114151,amazon_scraper,130,21,1,21,21,5.238095238095238,0.9393,0.494,0.07,0.436,False,0.060699999999999976,0,0.9393,2,0,0.09090909090909091,"['battery', 'camera', 'price', 'delivery', 'performance']",5,0.9393,0.9393,0.9393,0.9393,0.0,0.0,0.9393,0.0,2,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.35263636363636364
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","4.0 out of 5 stars
 Camera good, phone is also very good...",4.0,Good👍👍👍👍,Reviewed in India on 19 October 2025,20251118_114151,amazon_scraper,8,1,1,1,0,8.0,0.0,0.0,0.0,1.0,False,0.5,0,0.0,1,0,0.5,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,joy,4,True,neutral,"{'dominant': 'neutral', 'emotions': {'joy': 0, 'anger': 0, 'sadness': 0, 'fear': 0, 'surprise': 0, 'love': 0}}",0,[],False,False,,False,0.2296
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","5.0 out of 5 stars
 OnePlus Nord CE4 the EXTRAORDINARY!!!",5.0,"I usually not write ✍️ review very fast when it comes to smartphone. First I need to use it and under rigorous testing only I can put forward my verdict so that any brother or sister can buy the same from Amazon.
BODY : OnePlus has comeup with a very durable body and stylish. Looking premium.

DISPLAY: Its a PureAmoled with 10Bit resolution with crispy HDR10 features. Vibrant natural color and screen ratio is 88.5% to body ratio. So very less bezels.

BATTERY: Easily comes for 1 and half day if not playing any games. With games 1 day. No idle midnight auto battery drain and all. 5500mAh is very slowly discharging and due to 100w charger coming inside the box the mobile charges in 17 to 18minutes only upto 85% and full 100% charging approx 19 minutes as per my test.

CAMERA: Very ok for the price. I got one update recently in May 25, 2024 and after this the camera works wonderful specially selfie and portrait mode.

PROCESSOR: Snapdragon 7Gen3 name is enough that it is very stable and fast multi tasking and even this snapdragon version not heats up fastly. The clock speed is amazingly impressive to any games like PUBG or FreeFires or Asphalt. Rest all the medium games runs smoothly. No throttle. No lag and even No uncommon heating issues etc.

METWORK: Very fast 5G and even 4G also no issues. Runs smoothly without any call drop or any disturbance in voice quality. The Voice Focus mode works very nice even in the rush or crowded metro area. Last time recorded download speed was 175mbps & upload speed approx 145 to 166mbps.

STEREO SPEAKERS: This is what attracted me the most. The stereo speakers are very loud enough. And even it sync the eaarpods very quickly. OnePlus earpods are recommended for all those EQ and bass.

OVERALL VERDICT: Very lightest mobile inspite of 5500 mAh battery. Too premium boxy design. Call and network speed very impressive. After investing on this phone I have not regretted. Highly recommended and Value for money. Thanks Seller and Amazon. 100w charger in the box. Backcase and screen guard all in the box. A complete midrange killer phone. Highly valuable.

Read more",Reviewed in India on 28 May 2024,20251118_114151,amazon_scraper,2125,372,38,372,193,4.693548387096774,0.98,0.137,0.064,0.799,False,0.020000000000000018,9,0.07999999999999996,2,0,0.005361930294906166,"['battery', 'camera', 'price', 'delivery', 'design', 'quality', 'performance']",7,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,2,0,1,0,0,1,joy,1,True,neutral,"{'dominant': 'neutral', 'emotions': {'joy': 0, 'anger': 0, 'sadness': 0, 'fear': 0, 'surprise': 0, 'love': 0}}",5,"['lit', 'fire', 'crisp', 'mid', 'ass']",False,False,,False,0.790804289544236
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","5.0 out of 5 stars
 OnePlus Nord CE 4 – Great Overall, Just a Bit Power Hungry on Mobile Data",5.0,"I've been using the OnePlus Nord CE 4 for a few weeks now, and honestly, it’s a solid phone for the price. The performance is smooth — apps open quickly, switching between them is fast, and there’s no lag even when I’m playing games or watching videos. The display is bright, super responsive with the 120Hz refresh rate, and looks great for watching content or just scrolling.

The design feels premium even though it’s lightweight, and the camera has been surprisingly good, especially in daylight. Pictures come out sharp and colors are natural — not overly saturated.

Battery life is mostly pretty good. On Wi-Fi or casual use, it easily lasts a full day. But I did notice that it consumes a bit more battery when I’m using mobile data or doing WhatsApp video calls. It’s not terrible, but it’s noticeable, especially if you’re on video calls for a long time or out and about without Wi-Fi.

The good news is the charging is ridiculously fast. I can go from nearly 0 to 100% in around half an hour with the 100W SUPERVOOC charger, so even if the battery drains a bit faster sometimes, it’s super easy to top it up quickly.

All in all, the Nord CE 4 is a great pick if you're looking for a powerful mid-range phone with a clean user experience. Just keep in mind that video calls on mobile data can drain the battery a bit faster — but the fast charging totally makes up for it.

Read more",Reviewed in India on 6 June 2025,20251118_114151,amazon_scraper,1394,255,14,255,122,4.450980392156863,0.9927,0.208,0.023,0.769,False,0.007299999999999973,3,0.6927,6,1,0.01953125,"['battery', 'camera', 'price', 'delivery', 'design', 'quality', 'performance']",7,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.0,0,1,0,0,0,1,anger,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",3,"['clean', 'fresh', 'mid']",False,False,,False,0.7929296875
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","5.0 out of 5 stars
 Awesome product in this budget segment and superb built quality and smooth working",5.0,Awesome product,Reviewed in India on 12 November 2025,20251118_114151,amazon_scraper,15,2,1,2,2,7.0,0.6249,0.804,0.0,0.196,False,0.3751,0,0.6249,1,0,0.3333333333333333,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.209
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","4.0 out of 5 stars
 Mind blowing",4.0,A good one plus mobile. Fast charging and long battery backup.,Reviewed in India on 25 September 2025,20251118_114151,amazon_scraper,62,11,3,11,9,4.7272727272727275,0.4404,0.244,0.0,0.756,False,0.059599999999999986,0,0.4404,1,0,0.08333333333333333,"['battery', 'delivery', 'performance']",3,0.4404,0.0,0.0,0.4404,0.0,0.0,0.4404,0.0,0,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.2679
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","5.0 out of 5 stars
 Great Phone - could do with better locking",5.0,"Excellent phone for 20k. The system is fast, and the camera is also good. One issue is that, after 2 weeks of use, the lock and unlock functions are a little laggy. The screen stays on for 2-3 seconds even after making the lock sound. But overall a perfect phone",Reviewed in India on 25 September 2025,20251118_114151,amazon_scraper,262,50,5,50,30,4.26,0.8537,0.175,0.0,0.825,False,0.14629999999999999,0,0.8537,3,0,0.058823529411764705,"['camera', 'delivery', 'performance']",3,0.0,0.8537,0.0,0.8537,0.0,0.0,0.8537,0.0,2,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",1,['lit'],False,False,,False,0.4212235294117647
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","3.0 out of 5 stars
 Thik Thak Phone",3.0,"The display is good — smooth, with minimal bezels — and the fingerprint sensor is fast and responsive.
Performance is solid for day-to-day tasks. I don’t play heavy games, so I can’t comment on gaming performance.
The battery easily lasts a full day, but you’ll need to charge it the next day. The charger is unnecessarily fast, as the phone gets slightly warm while charging.
The camera is good but not great. It does the job, but don’t expect too much.
The software feels exactly like Realme and Oppo phones — it just carries the OxygenOS name. There’s a lot of bloatware, and you have to accept many unnecessary privacy policies and terms and conditions just to enable basic features like Global Search or the camera. If you want good software then, go for Nothing, Samsung, or Pixel phones instead.
Still, it’s a decent Chinese phone at 19K.",Reviewed in India on 10 November 2025,20251118_114151,amazon_scraper,845,148,12,148,79,4.716216216216216,0.9634,0.183,0.028,0.79,False,0.9634,2,0.7634000000000001,5,0,0.03355704697986577,"['battery', 'camera', 'delivery', 'quality', 'performance']",5,0.9634,0.9634,0.0,0.9634,0.0,0.9634,0.9634,0.0,0,0,0,0,0,1,trust,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",1,['basic'],False,False,,False,0.7240335570469798
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...",all side good,5.0,this phone very good but nfc not available this phone,Reviewed in Saudi Arabia on 5 August 2025,20251118_114151,amazon_scraper,53,10,1,10,8,4.4,-0.6541,0.135,0.35,0.515,True,1.6541000000000001,1,-1.0,1,0,0.09090909090909091,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.20423636363636363
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...",Exallent,5.0,Superb,Reviewed in the United Arab Emirates on 24 July 2025,20251118_114151,amazon_scraper,6,1,1,1,1,6.0,0.6249,1.0,0.0,0.0,False,0.3751,0,0.6249,0,0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.1542
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...",Genuine and Sealed pack.,5.0,There is no Complain.i trust Oneplus Mobiles.,Reviewed in the United Arab Emirates on 27 May 2025,20251118_114151,amazon_scraper,45,7,3,7,5,5.571428571428571,0.2732,0.314,0.21,0.476,False,0.7268,1,0.1732,0,0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,trust,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.18
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...",Appreciate,5.0,"I am always purchase via Amazon sa
That is really great 👍",Reviewed in Saudi Arabia on 14 September 2024,20251118_114151,amazon_scraper,57,12,1,12,11,3.8333333333333335,0.7264,0.432,0.0,0.568,False,0.27359999999999995,0,0.7264,1,0,0.07692307692307693,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,joy,1,True,neutral,"{'dominant': 'neutral', 'emotions': {'joy': 0, 'anger': 0, 'sadness': 0, 'fear': 0, 'surprise': 0, 'love': 0}}",0,[],False,False,,False,0.20893846153846152
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...",Working fine in general,5.0,"The phone works perfectly and meets all expectations. It offers smooth performance, long battery life, and excellent camera quality. The display is clear, and the system is stable and fast. A reliable product that I highly recommend. Thank you to the company for the high quality!",Reviewed in the United Arab Emirates on 22 December 2024,20251118_114151,amazon_scraper,280,46,5,46,30,5.108695652173913,0.9556,0.328,0.0,0.672,False,0.044399999999999995,0,0.9556,2,0,0.0425531914893617,"['battery', 'camera', 'delivery', 'quality', 'performance']",5,0.9556,0.9556,0.0,0.9556,0.0,0.9556,0.9556,0.0,2,0,0,0,0,2,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",1,['lit'],False,False,,False,0.45038297872340427
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","5.0 out of 5 stars
 Mostly Loving",5.0,Awesome mobile Thanks OnePlus Nice camera and battery backup with Fast charging Lag Free Processor Mostly loved phone at the price,Reviewed in India on 28 October 2025,20251118_114151,amazon_scraper,130,21,1,21,21,5.238095238095238,0.9393,0.494,0.07,0.436,False,0.060699999999999976,0,0.9393,2,0,0.09090909090909091,"['battery', 'camera', 'price', 'delivery', 'performance']",5,0.9393,0.9393,0.9393,0.9393,0.0,0.0,0.9393,0.0,2,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.35263636363636364
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","4.0 out of 5 stars
 Camera good, phone is also very good...",4.0,Good👍👍👍👍,Reviewed in India on 19 October 2025,20251118_114151,amazon_scraper,8,1,1,1,0,8.0,0.0,0.0,0.0,1.0,False,0.5,0,0.0,1,0,0.5,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,joy,4,True,neutral,"{'dominant': 'neutral', 'emotions': {'joy': 0, 'anger': 0, 'sadness': 0, 'fear': 0, 'surprise': 0, 'love': 0}}",0,[],False,False,,False,0.2296
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","5.0 out of 5 stars
 OnePlus Nord CE4 the EXTRAORDINARY!!!",5.0,"I usually not write ✍️ review very fast when it comes to smartphone. First I need to use it and under rigorous testing only I can put forward my verdict so that any brother or sister can buy the same from Amazon.
BODY : OnePlus has comeup with a very durable body and stylish. Looking premium.

DISPLAY: Its a PureAmoled with 10Bit resolution with crispy HDR10 features. Vibrant natural color and screen ratio is 88.5% to body ratio. So very less bezels.

BATTERY: Easily comes for 1 and half day if not playing any games. With games 1 day. No idle midnight auto battery drain and all. 5500mAh is very slowly discharging and due to 100w charger coming inside the box the mobile charges in 17 to 18minutes only upto 85% and full 100% charging approx 19 minutes as per my test.

CAMERA: Very ok for the price. I got one update recently in May 25, 2024 and after this the camera works wonderful specially selfie and portrait mode.

PROCESSOR: Snapdragon 7Gen3 name is enough that it is very stable and fast multi tasking and even this snapdragon version not heats up fastly. The clock speed is amazingly impressive to any games like PUBG or FreeFires or Asphalt. Rest all the medium games runs smoothly. No throttle. No lag and even No uncommon heating issues etc.

METWORK: Very fast 5G and even 4G also no issues. Runs smoothly without any call drop or any disturbance in voice quality. The Voice Focus mode works very nice even in the rush or crowded metro area. Last time recorded download speed was 175mbps & upload speed approx 145 to 166mbps.

STEREO SPEAKERS: This is what attracted me the most. The stereo speakers are very loud enough. And even it sync the eaarpods very quickly. OnePlus earpods are recommended for all those EQ and bass.

OVERALL VERDICT: Very lightest mobile inspite of 5500 mAh battery. Too premium boxy design. Call and network speed very impressive. After investing on this phone I have not regretted. Highly recommended and Value for money. Thanks Seller and Amazon. 100w charger in the box. Backcase and screen guard all in the box. A complete midrange killer phone. Highly valuable.

Read more",Reviewed in India on 28 May 2024,20251118_114151,amazon_scraper,2125,372,38,372,193,4.693548387096774,0.98,0.137,0.064,0.799,False,0.020000000000000018,9,0.07999999999999996,2,0,0.005361930294906166,"['battery', 'camera', 'price', 'delivery', 'design', 'quality', 'performance']",7,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,2,0,1,0,0,1,joy,1,True,neutral,"{'dominant': 'neutral', 'emotions': {'joy': 0, 'anger': 0, 'sadness': 0, 'fear': 0, 'surprise': 0, 'love': 0}}",5,"['lit', 'fire', 'crisp', 'mid', 'ass']",False,False,,False,0.790804289544236
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","5.0 out of 5 stars
 OnePlus Nord CE 4 – Great Overall, Just a Bit Power Hungry on Mobile Data",5.0,"I've been using the OnePlus Nord CE 4 for a few weeks now, and honestly, it’s a solid phone for the price. The performance is smooth — apps open quickly, switching between them is fast, and there’s no lag even when I’m playing games or watching videos. The display is bright, super responsive with the 120Hz refresh rate, and looks great for watching content or just scrolling.

The design feels premium even though it’s lightweight, and the camera has been surprisingly good, especially in daylight. Pictures come out sharp and colors are natural — not overly saturated.

Battery life is mostly pretty good. On Wi-Fi or casual use, it easily lasts a full day. But I did notice that it consumes a bit more battery when I’m using mobile data or doing WhatsApp video calls. It’s not terrible, but it’s noticeable, especially if you’re on video calls for a long time or out and about without Wi-Fi.

The good news is the charging is ridiculously fast. I can go from nearly 0 to 100% in around half an hour with the 100W SUPERVOOC charger, so even if the battery drains a bit faster sometimes, it’s super easy to top it up quickly.

All in all, the Nord CE 4 is a great pick if you're looking for a powerful mid-range phone with a clean user experience. Just keep in mind that video calls on mobile data can drain the battery a bit faster — but the fast charging totally makes up for it.

Read more",Reviewed in India on 6 June 2025,20251118_114151,amazon_scraper,1394,255,14,255,122,4.450980392156863,0.9927,0.208,0.023,0.769,False,0.007299999999999973,3,0.6927,6,1,0.01953125,"['battery', 'camera', 'price', 'delivery', 'design', 'quality', 'performance']",7,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.0,0,1,0,0,0,1,anger,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",3,"['clean', 'fresh', 'mid']",False,False,,False,0.7929296875
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","5.0 out of 5 stars
 Awesome product in this budget segment and superb built quality and smooth working",5.0,Awesome product,Reviewed in India on 12 November 2025,20251118_114151,amazon_scraper,15,2,1,2,2,7.0,0.6249,0.804,0.0,0.196,False,0.3751,0,0.6249,1,0,0.3333333333333333,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.209
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","4.0 out of 5 stars
 Mind blowing",4.0,A good one plus mobile. Fast charging and long battery backup.,Reviewed in India on 25 September 2025,20251118_114151,amazon_scraper,62,11,3,11,9,4.7272727272727275,0.4404,0.244,0.0,0.756,False,0.059599999999999986,0,0.4404,1,0,0.08333333333333333,"['battery', 'delivery', 'performance']",3,0.4404,0.0,0.0,0.4404,0.0,0.0,0.4404,0.0,0,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.2679
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","5.0 out of 5 stars
 Great Phone - could do with better locking",5.0,"Excellent phone for 20k. The system is fast, and the camera is also good. One issue is that, after 2 weeks of use, the lock and unlock functions are a little laggy. The screen stays on for 2-3 seconds even after making the lock sound. But overall a perfect phone",Reviewed in India on 25 September 2025,20251118_114151,amazon_scraper,262,50,5,50,30,4.26,0.8537,0.175,0.0,0.825,False,0.14629999999999999,0,0.8537,3,0,0.058823529411764705,"['camera', 'delivery', 'performance']",3,0.0,0.8537,0.0,0.8537,0.0,0.0,0.8537,0.0,2,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",1,['lit'],False,False,,False,0.4212235294117647
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...","3.0 out of 5 stars
 Thik Thak Phone",3.0,"The display is good — smooth, with minimal bezels — and the fingerprint sensor is fast and responsive.
Performance is solid for day-to-day tasks. I don’t play heavy games, so I can’t comment on gaming performance.
The battery easily lasts a full day, but you’ll need to charge it the next day. The charger is unnecessarily fast, as the phone gets slightly warm while charging.
The camera is good but not great. It does the job, but don’t expect too much.
The software feels exactly like Realme and Oppo phones — it just carries the OxygenOS name. There’s a lot of bloatware, and you have to accept many unnecessary privacy policies and terms and conditions just to enable basic features like Global Search or the camera. If you want good software then, go for Nothing, Samsung, or Pixel phones instead.
Still, it’s a decent Chinese phone at 19K.",Reviewed in India on 10 November 2025,20251118_114151,amazon_scraper,845,148,12,148,79,4.716216216216216,0.9634,0.183,0.028,0.79,False,0.9634,2,0.7634000000000001,5,0,0.03355704697986577,"['battery', 'camera', 'delivery', 'quality', 'performance']",5,0.9634,0.9634,0.0,0.9634,0.0,0.9634,0.9634,0.0,0,0,0,0,0,1,trust,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",1,['basic'],False,False,,False,0.7240335570469798
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...",all side good,5.0,this phone very good but nfc not available this phone,Reviewed in Saudi Arabia on 5 August 2025,20251118_114151,amazon_scraper,53,10,1,10,8,4.4,-0.6541,0.135,0.35,0.515,True,1.6541000000000001,1,-1.0,1,0,0.09090909090909091,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.20423636363636363
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...",Exallent,5.0,Superb,Reviewed in the United Arab Emirates on 24 July 2025,20251118_114151,amazon_scraper,6,1,1,1,1,6.0,0.6249,1.0,0.0,0.0,False,0.3751,0,0.6249,0,0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.1542
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...",Genuine and Sealed pack.,5.0,There is no Complain.i trust Oneplus Mobiles.,Reviewed in the United Arab Emirates on 27 May 2025,20251118_114151,amazon_scraper,45,7,3,7,5,5.571428571428571,0.2732,0.314,0.21,0.476,False,0.7268,1,0.1732,0,0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,trust,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",0,[],False,False,,False,0.18
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...",Appreciate,5.0,"I am always purchase via Amazon sa
That is really great 👍",Reviewed in Saudi Arabia on 14 September 2024,20251118_114151,amazon_scraper,57,12,1,12,11,3.8333333333333335,0.7264,0.432,0.0,0.568,False,0.27359999999999995,0,0.7264,1,0,0.07692307692307693,[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,joy,1,True,neutral,"{'dominant': 'neutral', 'emotions': {'joy': 0, 'anger': 0, 'sadness': 0, 'fear': 0, 'surprise': 0, 'love': 0}}",0,[],False,False,,False,0.20893846153846152
B0CX59H5W7,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm®...",Working fine in general,5.0,"The phone works perfectly and meets all expectations. It offers smooth performance, long battery life, and excellent camera quality. The display is clear, and the system is stable and fast. A reliable product that I highly recommend. Thank you to the company for the high quality!",Reviewed in the United Arab Emirates on 22 December 2024,20251118_114151,amazon_scraper,280,46,5,46,30,5.108695652173913,0.9556,0.328,0.0,0.672,False,0.044399999999999995,0,0.9556,2,0,0.0425531914893617,"['battery', 'camera', 'delivery', 'quality', 'performance']",5,0.9556,0.9556,0.0,0.9556,0.0,0.9556,0.9556,0.0,2,0,0,0,0,2,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",1,['lit'],False,False,,False,0.45038297872340427
B0FHB5V36G,"iQOO Z10R 5G (Aquamarine, 8GB RAM, 128GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Di...","5.0 out of 5 stars
 Z 10R experience",5.0,Excellent to use. Best camera ever used and great at gaming experience. The ui quality is awesome as well.,Reviewed in India on 6 November 2025,20251118_114230,amazon_scraper,106,19,4,19,16,4.631578947368421,0.9595,0.565,0.0,0.435,False,0.04049999999999998,0,0.9595,4,0,0.2,"['camera', 'quality']",2,0.0,0.9595,0.0,0.0,0.0,0.9595,0.0,0.0,2,0,0,0,0,0,joy,0,False,neutral,"{'dominant': 'neutral', 'emotions': {}}",1,['lit'],False,False,,False,0.2982
